ward,number_of_household,total_population,total_population_males,total_population_females,person_aged_0_6,literate_population,literate_population_males,literate_population_females,iletrate_population,iletrate_population_males,iletrate_population_females,total_worker_population,total_worker_population_males,total_worker_population_females,non_working_population,non_working_population_males,non_working_population_females,literacy_rate,Region,lat,long,postal_code,Unnamed: 23,localities
109,16238,64567,32460,32107,5575,50435,26421,24014,14132,6039,8093,26883,18876,8007,37684,13584,24100,85.49,Kolkata,22.481833,88.400694,"700 094, 700 099",,"panchasayar, new garia,kalikapur haltu,jagatipota,mukundpur,ahalyanagar mukundpur"
11,4715,22152,12086,10066,1187,18440,10200,8240,3712,1886,1826,9282,7476,1806,12870,4610,8260,87.96,Kolkata,22.598806,88.373611,700 004,,"hati bagan shayambazar,Fariapukur Shyam Bazar,Bidhan Sarani, Shyam Bazar"
110,7628,27470,13681,13789,1894,23363,11914,11449,4107,1767,2340,11061,7923,3138,16409,5758,10651,91.35,Kolkata,22.473833,88.382694,"700 094, 700 084",,"baliya garia,patuli,panchasayar garia,fartabad garia"
111,10156,38647,19656,18991,2545,33705,17457,16248,4942,2199,2743,14893,11440,3453,23754,8216,15538,93.36,Kolkata,22.462833,88.370694,"700 084,  700 096, 700 154",,"baliya garia,panchasayar garia,fartabad garia,usha park,boral,"
112,8373,32404,16309,16095,2345,27804,14244,13560,4600,2065,2535,12569,9685,2884,19835,6624,13211,92.5,Kolkata,22.467833,88.365694,700 047,,"naktala,garia,ganguli bagan"
113,8508,33475,16721,16754,2439,28608,14686,13922,4867,2035,2832,12941,10124,2817,20534,6597,13937,92.18,Kolkata,22.472833,88.354694,700070,,bansdroni
114,10958,41913,21093,20820,3077,35392,18271,17121,6521,2822,3699,15912,12643,3269,26001,8450,17551,91.13,Kolkata,22.476833,88.348806,700093,,"talbagan,new tollygunge,paschim putiary"
115,8461,31919,16001,15918,1867,28710,14561,14149,3209,1440,1769,13110,9735,3375,18809,6266,12543,95.53,Kolkata,22.481833,88.341806,"700 041, 700082",,"sarada pally,Kabardanga,haridevpur,Jiban Mohini Ghosh Park,Sukanta Pally,HaridevpurPaschim Putiary"
116,6897,28338,14495,13843,2352,22585,12121,10464,5753,2374,3379,11227,8649,2578,17111,5846,11265,86.91,Kolkata,22.496833,88.336806,700 034,,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala"
117,5226,21824,11121,10703,1742,17376,9203,8173,4448,1918,2530,9337,6913,2424,12487,4208,8279,86.53,Kolkata,22.501833,88.337806,700 034,,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala"
118,5433,21810,10897,10913,1468,18315,9442,8873,3495,1455,2040,8315,6325,1990,13495,4572,8923,90.04,Kolkata,22.506833,88.331806,"700 038, 700 053",,"sahapur behala, Buroshibtalla,Sahapur New Alipore, new alipore"
119,4081,16491,8319,8172,1009,14559,7482,7077,1932,837,1095,6370,4906,1464,10121,3413,6708,94.04,Kolkata,22.503833,88.322806,700 038,,"sahapur behala, Buroshibtalla"
12,4864,21493,11884,9609,1455,17023,9657,7366,4470,2227,2243,9486,7558,1928,12007,4326,7681,84.95,Kolkata,22.596806,88.376694,700 004,,"Fariapukur Shyam Bazar,R G Kar Medical College and Hospital Bidhan Sarani Shyam Bazar,hati bagan , Sovabazar Metro Station,maniktala"
120,5249,19710,9662,10048,1151,17102,8564,8538,2608,1098,1510,7701,5735,1966,12009,3927,8082,92.15,Kolkata,22.496833,88.319806,700 034,,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala"
121,7712,29921,14919,15002,2023,25627,13067,12560,4294,1852,2442,12276,9094,3182,17645,5825,11820,91.86,Kolkata,22.489222,88.327389,700 034,,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala"
122,9977,39198,19906,19292,2797,33810,17550,16260,5388,2356,3032,15371,12055,3316,23827,7851,15976,92.88,Kolkata,22.483222,88.328389,700 082,,"Jiban Mohini Ghosh Park,Sukanta Pally,HaridevpurPaschim Putiary"
123,9425,35386,17727,17659,2174,31026,15879,15147,4360,1848,2512,13571,10244,3327,21815,7483,14332,93.42,Kolkata,22.481833,88.316694,700 008,,"Barisha,Netradeep Eye Hospital Sakher Bazar, Purba Barisha, Nagen Das Park Vidyasagar Purba Barisha"
124,10128,39179,19352,19827,2839,33632,16959,16673,5547,2393,3154,14805,10931,3874,24374,8421,15953,92.55,Kolkata,22.468675,88.316694,"700 008, 700 063",,"Barisha,Netradeep Eye Hospital Sakher Bazar, Purba Barisha, Nagen Das Park Vidyasagar Purba Barisha,James Long Sarani-Thakurpur,Thakurpukur"
